['scowl', 'chink', 'furst', 'bimbo', 'pudgy'],19
['in(p)', 'bogus', 'filmy', 'bovid', 'bitch'],19
['mumbo', 'vwith', 'brown', 'pyxis', 'flick'],19
['in(p)', 'luxor', 'gourd', 'jiffy', 'whist'],19
['plomb', 'sighd', 'froth', 'quick', 'sigyn'],19
['vinyl', 'fowls', 'kudzu', 'mulch', 'strip'],19
['buxus', 'ditch', 'flunk', 'whish', 'grump'],18
['curry', 'filth', "bvd's", 'coign', 'skimp'],20
['prink', 'corps', 'fuzzy', 'width', 'mogul'],19
['lygus', 'stoup', "bvd's", 'quoth', 'frock'],18
['phlox', 'scrub', 'outgo', 'known', 'muzzy'],18
['xviii', 'vwith', "bvd's", 'fling', 'jumps'],18
['doubt', 'vogul', 'on(p)', 'husky', 'rhumb'],18
['up(p)', 'fight', 'combo', 'world', 'quips'],19
['young', 'visit', 'on(p)', 'brush', 'flick'],19
['in(p)', 'strop', 'divvy', 'bloom', 'finch'],18
['xviii', 'wimpy', 'jiqui', 'fling', 'short'],19
['prink', 'ditch', "bvd's", 'holly', 'grift'],18
['in(p)', 'finds', 'thrum', 'bligh', 'gluck'],18
['prim\x03', 'tongu', "bvd's", 'horus', 'rocky'],19
['vixit', 'witch', 'on(p)', 'smirk', 'bigot'],18
['wring', 'block', 'showy', 'pivot', 'mucid'],19
['fitly', 'mimic', "bvd's", 'thunk', 'pudgy'],18
['so(p)', 'vying', 'kotow', 'tumid', 'chill'],19
['focus', 'klutz', "bvd's", 'chino', 'grody'],19
['flock', 'vwith', 'dicto', 'nymph', 'gross'],18
['goody', 'vwith', 'on(p)', 'oculi', 'borns'],19
['drink', 'touch', "bvd's", 'whomp', 'floor'],19
['so(p)', 'crowd', 'visum', 'hulky', 'booty'],19
['so(p)', 'spiky', 'botch', 'covin', 'growl'],18
['bunco', 'virgo', 'dumpy', 'hulks', 'strix'],19
['swift', 'choux', 'kudzu', 'pluto', 'bring'],19
['in(p)', 'virgo', 'imply', 'dight', 'slick'],18
['kimbo', 'vwith', 'drony', 'foils', 'gulch'],19
['cocky', 'pygmy', "bvd's", 'wight', 'wrong'],18
['ghost', 'wimpy', 'jinks', 'cursd', 'blink'],19
['fungi', 'chomp', 'milky', 'width', 'bronx'],19
['so(p)', 'luxor', 'myoid', 'dight', 'knows'],19
['build', 'pigmy', 'jinks', 'troth', 'infix'],19
['ghyll', 'finds', 'bryum', 'quick', 'jotun'],19
['twirl', 'quiff', "bvd's", 'bonny', 'gluck'],19
['forms', 'sixty', 'lungi', 'bovid', 'chuck'],19
['idiom', 'vying', "bvd's", 'width', 'frock'],18
['motif', 'dphil', 'wings', 'quick', 'robin'],19
['crimp', 'sighd', 'fuzzy', 'until', 'brrok'],19
['phlox', 'snick', 'froid', 'throb', 'muzzy'],19
['drink', 'color', "bvd's", 'proxy', 'hi-fi'],18
['hound', 'pygmy', "bvd's", 'crows', 'frock'],18
['chump', 'lindy', "bvd's", 'crows', 'no-go'],19
['toxin', 'pygmy', 'zilch', 'brisk', 'frons'],18
['miwok', 'bumps', 'thong', 'jiffy', 'livor'],19
['xyris', 'vogul', 'codon', 'jhuth', 'plumb'],19
['porgy', 'quits', 'crown', 'rhomb', 'fjord'],19
['dusty', 'vigil', 'flunk', 'rhomb', 'pichi'],19
['so(p)', 'njord', 'filmy', 'dight', 'cobol'],19
